date,player_id,serve_period,region,index,speed_mph,clear_net,let,shot_x,shot_y
2022-02-01,1,1,deuce tee,1,71.9,1,0,4.8828,0.3479
2022-02-01,1,1,deuce tee,2,83.6,1,0,4.5972,1.5425
2022-02-01,1,1,deuce tee,3,84.8,1,0,4.3057,1.0735
2022-02-01,1,1,deuce tee,4,85.6,1,0,5.1739,-0.1341
2022-02-01,1,1,deuce tee,5,71.3,1,0,5.9074,0.3523
2022-02-01,1,1,deuce wide,6,85.9,1,0,7.6308,4.9224
2022-02-01,1,1,deuce wide,7,75,0,0,NA,NA
2022-02-01,1,1,deuce wide,8,84.8,1,0,4.1091,3.2399
2022-02-01,1,1,deuce tee,9,87.8,1,0,4.6547,1.6495
2022-02-01,1,1,deuce tee,10,84,1,0,4.25,0.4298
2022-02-01,1,1,deuce wide,11,96.7,0,0,NA,NA
2022-02-01,1,1,deuce wide,12,69.2,1,0,4.3686,2.0983
2022-02-01,1,1,deuce tee,13,87.4,1,0,4.69,1.613
2022-02-01,1,1,deuce tee,14,98.5,1,0,7.6596,1.4661
2022-02-01,1,1,deuce wide,15,88.9,1,0,5.214,2.9252
2022-02-01,1,1,deuce tee,16,93.1,1,0,5.2756,-0.2642
2022-02-01,1,1,deuce tee,17,100.6,1,0,5.7336,0.7333
2022-02-01,1,1,deuce tee,18,96.4,1,0,6.461,0.0059
2022-02-01,1,1,deuce tee,19,99.6,1,1,4.6649,1.2944
2022-02-01,1,1,deuce wide,20,87.7,1,0,4.2475,3.3602
2022-02-01,1,1,deuce wide,21,85.1,1,0,5.5004,4.0884
2022-02-01,1,1,deuce tee,22,87,1,0,6.3891,0.0778
2022-02-01,1,1,deuce tee,23,91.4,1,0,7.1346,1.2625
2022-02-01,1,1,deuce tee,24,108.8,1,0,9.8415,1.4151
2022-02-01,1,1,deuce tee,25,103.2,1,0,5.2987,0.9826
2022-02-01,1,1,ad wide,26,88.6,0,0,NA,NA
2022-02-01,1,1,ad wide,27,66.2,0,0,NA,NA
2022-02-01,1,1,ad wide,28,69,1,0,4.6596,-3.4387
2022-02-01,1,1,ad tee,29,84.6,1,0,4.1497,-0.5249
2022-02-01,1,1,ad tee,30,83.4,1,0,3.9509,-1.5537
2022-02-01,1,1,ad wide,31,84.6,1,0,4.4329,-3.8733
2022-02-01,1,1,ad wide,32,80.6,1,0,3.9636,-4.2901
2022-02-01,1,1,ad tee,33,84.4,1,0,4.4454,-0.881
2022-02-01,1,1,ad tee,34,103.3,1,0,8.5561,-1.5169
2022-02-01,1,1,ad tee,35,76.8,1,0,4.1845,-0.7251
2022-02-01,1,1,ad wide,36,72.5,1,0,3.5688,-4.3589
2022-02-01,1,1,ad wide,37,62.9,1,0,5.211,-2.8729
2022-02-01,1,1,ad wide,38,NA,0,0,NA,NA
2022-02-01,1,1,ad wide,39,70.1,1,0,5.8545,-3.6178
2022-02-01,1,1,ad tee,40,87.3,1,0,6.6884,-1.4894
2022-02-01,1,1,ad tee,41,69.1,1,0,4.7517,-0.4123
2022-02-01,1,1,ad tee,42,75.4,1,0,4.6671,-1.561
2022-02-01,1,1,ad wide,43,72.6,1,0,4.4074,-2.8978
2022-02-01,1,1,ad tee,44,81.1,1,0,3.8468,-0.0106
2022-02-01,1,1,ad tee,45,65.4,1,0,4.472,-0.1264
2022-04-19,2,1,ad tee,1,95.1,1,0,7.2007,-1.0646
2022-04-19,2,2,ad wide,2,84.5,1,0,4.3542,-2.4591
2022-04-19,2,1,ad wide,3,88.7,1,0,4.7968,-3.1191
2022-04-19,2,1,deuce tee,4,108.4,1,0,4.9918,0.6352
2022-04-19,2,1,ad wide,5,84.1,1,0,5.2066,-3.766
2022-04-19,2,1,ad wide,6,113.8,0,0,NA,NA
2022-04-19,2,1,ad wide,7,89.9,1,0,4.5631,-3.4552
2022-04-19,2,1,deuce wide,8,97.7,1,0,4.4643,3.5411
2022-04-19,2,1,deuce wide,9,100.3,0,0,NA,NA
2022-04-19,2,2,deuce tee,10,83.1,1,0,5.3175,1.6215
2022-04-19,2,1,ad wide,11,117,1,0,4.9835,-3.3665
2022-04-19,2,1,deuce wide,12,98.8,1,0,4.3346,3.5292
2022-04-19,2,1,ad wide,13,120.5,0,0,NA,NA
2022-04-19,2,2,ad wide,14,84.5,1,0,4.5886,-2.4275
2022-04-19,2,1,deuce tee,15,118.7,0,0,NA,NA
2022-04-19,2,2,deuce wide,16,89.9,1,0,5.3713,3.5277
2022-04-19,3,1,ad wide,1,88.9,1,0,4.9264,-3.253
2022-04-19,3,1,ad wide,2,109.4,0,0,NA,NA
2022-04-19,3,2,ad wide,3,85.1,1,0,5.0633,-3.0683
2022-04-19,3,1,ad tee,4,94.6,1,0,4.5809,-0.7076
2022-04-19,3,1,deuce wide,5,103.9,1,0,6.5153,4.5201
2022-04-19,3,2,deuce tee,6,79.4,1,0,3.4713,1.4508
2022-04-19,3,1,deuce tee,7,103.3,1,0,5.935,0.8309
2022-04-19,3,1,ad wide,8,77.9,1,0,3.944,-2.5906
2022-04-19,3,1,ad wide,9,83.3,1,0,4.0646,-2.8705
2022-04-19,3,1,ad tee,10,100.1,1,0,5.5994,-0.7042
2022-04-19,3,1,ad wide,11,120,0,0,NA,NA
2022-04-19,3,2,ad tee,12,83.6,1,0,5.2637,-1.5368
2022-04-19,3,1,deuce tee,13,111,0,0,NA,NA
2022-04-19,3,2,deuce wide,14,77.4,1,0,4.2098,2.6688
2022-04-19,3,1,deuce tee,15,NA,1,0,5.1019,0.6296
2022-04-19,4,1,deuce tee,1,114.3,1,0,5.1733,0.4228
2022-04-19,4,1,ad tee,2,115.8,0,0,NA,NA
2022-04-19,4,2,ad tee,3,84.4,1,0,5.1092,-0.2161
2022-04-19,4,1,deuce tee,4,112.1,0,0,NA,NA
2022-04-19,4,2,deuce wide,5,88.5,1,0,5.8797,3.5728
2022-04-19,4,1,deuce tee,6,111.5,1,0,4.9531,-0.7053
2022-04-19,4,2,deuce tee,7,80.1,1,0,5.5291,1.2521
2022-04-19,4,1,ad tee,8,88.9,1,0,5.8778,-0.1438
2022-04-19,4,1,ad tee,9,98.8,1,0,6.5796,-0.7065
2022-04-19,4,2,ad wide,10,83.4,1,0,5.0005,-3.9801
2022-04-19,4,1,deuce wide,11,86.9,1,0,6.5811,3.9199
2022-04-19,4,2,deuce wide,12,83.1,1,0,4.0764,2.6735
2022-04-19,4,1,deuce tee,13,113.6,1,0,8.0027,-0.0052
2022-04-19,4,2,deuce wide,14,79.9,1,0,5.6699,3.7824
2022-04-19,4,1,deuce wide,15,84.1,1,0,4.9923,2.9612
2022-04-19,8,1,deuce tee,1,123,1,0,5.3341,-0.3634
2022-04-19,8,1,deuce wide,2,93.4,1,0,5.9922,3.4541
2022-04-19,8,1,deuce wide,3,95.4,1,0,7.3923,3.3454
2022-04-19,8,2,deuce tee,4,95.1,1,0,5.0213,1.565
2022-04-19,8,1,ad tee,5,133.7,1,0,7.9025,-0.933
2022-04-19,8,2,ad wide,6,91.2,1,0,4.0479,-2.406
2022-04-19,8,1,ad tee,7,126.6,1,0,5.3546,-0.9821
2022-04-19,8,1,deuce tee,8,129.3,1,0,5.8996,0.9413
2022-04-19,8,1,deuce wide,9,105.5,1,0,5.5137,2.9666
2022-04-19,8,1,deuce wide,10,93.5,1,0,5.3271,2.8222
2022-04-19,8,1,ad tee,11,134.1,1,0,6.3149,-0.6361
2022-04-19,8,2,ad tee,12,100.8,1,0,5.5801,-1.3828
2022-04-19,8,1,ad wide,13,106.2,1,0,4.708,-3.1908
2022-04-19,8,1,deuce tee,14,127.9,1,0,8.0836,0.8668
2022-04-19,8,2,deuce tee,15,96.7,1,0,5.5128,-0.0885
2022-09-20,2,1,deuce wide,1,100.1,1,1,NA,NA
2022-09-20,2,2,deuce wide,1,96,1,0,4.9355,2.7951
2022-09-20,2,1,deuce tee,2,98,1,0,5.2733,1.0464
2022-09-20,2,1,deuce tee,3,NA,0,0,NA,NA
2022-09-20,2,2,ad tee,3,87,1,0,5.0838,-1.8455
2022-09-20,2,1,deuce wide,4,NA,0,0,NA,NA
2022-09-20,2,2,ad tee,4,85.7,1,0,4.3758,-0.2811
2022-09-20,2,1,ad tee,5,97,0,0,NA,NA
2022-09-20,2,2,deuce tee,5,79.9,1,0,4.2645,0.409
2022-09-20,2,1,ad tee,6,94.1,1,0,6.275,-1.1558
2022-09-20,2,1,deuce wide,7,102.2,0,0,NA,NA
2022-09-20,2,2,ad tee,7,80.9,1,0,5.6797,-1.8547
2022-09-20,2,1,deuce wide,8,NA,0,0,NA,NA
2022-09-20,2,2,ad tee,8,92.5,1,0,5.8491,-0.066
2022-09-20,2,1,ad wide,9,113.3,1,1,NA,NA
2022-09-20,2,1,deuce tee,9,111.3,0,0,NA,NA
2022-09-20,2,2,deuce wide,9,93.8,0,0,NA,NA
2022-09-20,2,1,ad wide,10,114.4,1,0,5.9512,-2.8313
2022-09-20,2,1,ad tee,11,114.3,0,0,NA,NA
2022-09-20,2,2,ad tee,11,97.3,1,0,4.9955,-0.5829
2022-09-20,2,1,ad tee,12,110.9,0,0,NA,NA
2022-09-20,2,2,deuce tee,12,79.6,1,0,4.1945,0.376
2022-09-20,2,1,ad tee,13,114.3,0,0,NA,NA
2022-09-20,2,2,deuce tee,13,82.5,1,0,5.5834,0.9788
2022-09-20,2,1,deuce wide,14,96.7,1,0,5.3188,3.4848
2022-09-20,2,1,deuce wide,15,96.1,1,0,5.9088,3.6338
2022-09-20,2,1,ad tee,16,101.3,0,0,NA,NA
2022-09-20,2,2,deuce tee,16,75.5,1,0,4.0824,1.3179
2022-09-20,2,1,ad wide,17,113.1,0,0,NA,NA
2022-09-20,2,2,ad wide,17,87.3,1,0,5.1052,-2.3199
2022-09-20,2,1,deuce wide,18,96.2,0,0,NA,NA
2022-09-20,2,2,ad wide,18,75.2,1,0,3.8156,-2.7272
2022-09-20,2,1,ad tee,19,112,0,0,NA,NA
2022-09-20,2,2,ad wide,19,76.4,1,0,4.0424,-2.1151
2022-09-20,2,1,deuce tee,20,118,1,0,5.141,1.2367
2022-09-20,2,1,deuce tee,21,110.8,0,0,NA,NA
2022-09-20,2,2,deuce wide,21,96.8,1,0,5.7949,1.8092
2022-09-20,2,1,ad wide,22,110,1,0,5.4292,-3.1875
2022-09-20,2,1,ad tee,23,116,0,0,NA,NA
2022-09-20,2,2,ad wide,23,97.8,1,0,5.7872,-3.4219
2022-09-20,2,1,deuce wide,24,95.1,0,0,NA,NA
2022-09-20,2,2,ad wide,24,78.3,1,0,5.7775,-2.4902
2022-09-20,2,1,deuce wide,25,96.6,1,0,6.6924,4.0739
2022-09-20,2,2,deuce wide,25,85.3,1,0,5.1625,3.9865
2022-09-20,2,1,deuce tee,26,110.3,1,0,6.5128,1.4696
2022-09-20,2,1,deuce wide,27,89.8,1,0,4.1486,2.9857
2022-09-20,2,1,deuce tee,28,112.1,1,0,5.8508,0.8531
2022-09-20,2,1,ad wide,29,115.1,0,0,NA,NA
2022-09-20,2,2,ad wide,29,75.5,1,0,5.1697,-3.0691
2022-09-20,2,1,ad wide,30,105.8,0,0,NA,NA
2022-09-20,2,2,deuce tee,30,88.5,1,0,6.9545,1.5566
2022-09-27,2,1,deuce tee,1,123.6,1,1,NA,NA
2022-09-27,2,1,deuce tee,2,109.3,1,0,5.314,1.3502
2022-09-27,2,1,deuce wide,3,87.1,1,0,5.2193,4.0794
2022-09-27,2,1,deuce tee,4,115.6,1,0,6.9156,0.6721
2022-09-27,2,2,ad wide,5,76.9,1,0,4.234,-2.818
2022-09-27,2,1,ad wide,6,126.3,1,0,5.5637,-3.0759
2022-09-27,2,1,ad tee,7,97.8,1,0,5.1862,-1.0444
2022-09-27,2,1,deuce tee,8,117,0,0,NA,NA
2022-09-27,2,2,ad wide,9,78,0,0,NA,NA
2022-09-27,2,1,ad wide,10,114.8,0,0,NA,NA
2022-09-27,2,2,deuce tee,11,79.1,1,0,4.4399,1.441
2022-09-27,2,1,ad tee,12,106.5,1,0,5.5611,-0.5794
2022-09-27,2,1,deuce tee,13,116.6,1,0,5.7925,0.7929
2022-09-27,2,1,deuce wide,14,91.9,1,0,4.2751,3.2267
2022-09-27,2,1,ad wide,15,111.5,1,0,5.6646,-2.9101
2022-09-27,2,1,ad wide,16,113.9,1,0,6.2827,-4.4029
