draw,chain,player_id,serve_period,region,mu_x,mu_y,tau_x,tau_y,rho,alpha,court,strategy
1,1,1,1,1,4.4387042,3.4601472,1.3807632,0.79099082,0.71537028,4.097781,Deuce,Wide
2,1,1,1,1,4.5001211,3.6478459,1.2227199,0.63252253,0.68342584,3.9110154,Deuce,Wide
3,1,1,1,1,5.101133,3.6438889,1.3724501,0.87561114,0.67046315,4.0983183,Deuce,Wide
4,1,1,1,1,4.1024231,3.4070212,1.5203046,0.7575091,0.55847862,3.6223151,Deuce,Wide
5,1,1,1,1,4.2709646,3.0939372,1.1384019,0.7361384,0.69198741,4.0181004,Deuce,Wide
6,1,1,1,1,4.7865592,3.8456881,1.518713,0.74062913,0.53366832,3.8741186,Deuce,Wide
7,1,1,1,1,4.6494714,3.9203369,1.4885063,0.65840144,0.68824032,3.7203399,Deuce,Wide
8,1,1,1,1,5.028453,3.3285862,1.2359452,0.65102394,0.54570676,4.0378026,Deuce,Wide
9,1,1,1,1,4.7596371,3.4678837,0.93292409,0.67608668,0.61364271,3.928373,Deuce,Wide
10,1,1,1,1,5.4145363,3.6612015,1.5246875,0.6640189,0.78510542,4.0030312,Deuce,Wide
11,1,1,1,1,5.1246496,3.7540012,1.4617399,0.65642711,0.68963679,3.9410001,Deuce,Wide
12,1,1,1,1,4.5763146,3.5637288,1.3095982,0.73388104,-0.079697448,3.8196383,Deuce,Wide
13,1,1,1,1,4.7816075,3.6987203,1.3074819,0.71339113,0.37165732,3.9373237,Deuce,Wide
14,1,1,1,1,4.5988047,3.6351667,1.9098005,0.75837012,0.63633389,3.7577943,Deuce,Wide
15,1,1,1,1,4.6416981,3.9256527,1.6392345,0.8038508,0.31473152,3.981149,Deuce,Wide
16,1,1,1,1,4.618576,3.4024275,1.4704484,0.67261731,0.43816885,4.0047604,Deuce,Wide
17,1,1,1,1,4.4525519,3.4846655,1.4010817,0.82709906,0.53636775,4.0439821,Deuce,Wide
18,1,1,1,1,4.4337273,3.6778956,1.3694791,0.72812023,0.59648618,3.8907298,Deuce,Wide
19,1,1,1,1,4.9605186,3.6325684,1.1581132,0.65418769,0.57698012,4.100538,Deuce,Wide
20,1,1,1,1,4.642895,3.5705761,1.4006352,0.7551692,0.60295959,4.0562975,Deuce,Wide
21,1,1,1,1,4.8673526,3.5413305,1.570142,0.72857543,0.53306067,3.9663774,Deuce,Wide
22,1,1,1,1,4.331562,3.3655087,1.3045593,0.78674528,0.62511675,4.0900452,Deuce,Wide
23,1,1,1,1,4.8716715,3.530806,1.401227,0.77807499,0.68599697,3.9781949,Deuce,Wide
24,1,1,1,1,5.0583812,3.3597981,1.583857,0.76141918,0.55215367,4.0778147,Deuce,Wide
25,1,1,1,1,5.0035469,3.8742936,1.3740118,0.79615286,0.77362034,4.021886,Deuce,Wide
26,1,1,1,1,4.3646302,3.4644616,1.366589,0.83815974,0.72165728,3.9379754,Deuce,Wide
27,1,1,1,1,4.9942774,3.7526664,1.179386,0.8451539,0.37563257,4.0090518,Deuce,Wide
28,1,1,1,1,5.2710005,3.9179449,1.4095651,0.7244142,0.67638417,4.1050289,Deuce,Wide
29,1,1,1,1,5.3111931,3.4607321,1.5047683,0.75634087,0.36167852,3.7475796,Deuce,Wide
30,1,1,1,1,5.0840315,3.8783251,1.147932,0.64856884,0.65649696,4.0817675,Deuce,Wide
31,1,1,1,1,5.0200206,3.5891327,1.2899559,0.64329221,0.5963602,4.0753812,Deuce,Wide
32,1,1,1,1,4.7515293,3.4021939,1.5667871,0.86881147,0.76083428,3.9359108,Deuce,Wide
33,1,1,1,1,4.7413089,3.6770401,1.2435856,0.7791094,0.64194693,4.0855101,Deuce,Wide
34,1,1,1,1,4.1479756,3.4116405,1.2818418,0.6945764,0.62280091,4.0992172,Deuce,Wide
35,1,1,1,1,4.9308776,3.6722825,1.1418804,0.79634258,0.72463794,4.0489116,Deuce,Wide
36,1,1,1,1,4.6498952,3.7256722,1.4607438,0.71624289,0.43944777,3.6891814,Deuce,Wide
37,1,1,1,1,4.6953329,3.3785153,1.5145754,0.7074996,0.5605513,3.6756115,Deuce,Wide
38,1,1,1,1,4.447149,3.406482,1.2878402,0.63821754,0.58172191,4.0507306,Deuce,Wide
39,1,1,1,1,4.580126,3.6478048,1.5901375,0.76065687,0.55446534,4.1027479,Deuce,Wide
40,1,1,1,1,4.0939128,3.4274972,1.3621858,0.75135621,0.82762736,3.9853427,Deuce,Wide
41,1,1,1,1,4.3762169,3.5827165,1.3104673,0.75042844,0.50459691,4.0356093,Deuce,Wide
42,1,1,1,1,4.4643221,3.4754798,1.3572008,0.6055875,0.55439198,3.9175139,Deuce,Wide
43,1,1,1,1,4.5552313,3.4629907,1.2801416,0.71499106,0.62747997,4.0121077,Deuce,Wide
44,1,1,1,1,4.614949,3.4661615,1.2973131,0.74958174,0.6102943,4.0264282,Deuce,Wide
45,1,1,1,1,4.5843235,3.4671406,1.3603229,0.7291759,0.54120798,3.6798379,Deuce,Wide
46,1,1,1,1,4.6391508,3.4934806,1.1347808,0.78482867,0.56227013,3.8721136,Deuce,Wide
47,1,1,1,1,4.7066781,3.5351964,1.2434001,0.69531875,0.58870294,4.011416,Deuce,Wide
48,1,1,1,1,4.7882132,3.6361688,1.2533684,0.70962426,0.66140372,4.0434147,Deuce,Wide
49,1,1,1,1,4.8400819,3.6829023,1.4169835,0.75376433,0.79750412,3.9155634,Deuce,Wide
50,1,1,1,1,4.6576063,3.4349569,1.3940998,0.62535593,0.7126785,4.0938192,Deuce,Wide
51,1,1,1,1,4.9111511,3.8344921,1.5458789,0.75101541,0.50460957,3.7858197,Deuce,Wide
52,1,1,1,1,4.3502744,3.3874133,1.3158035,0.76063177,0.2415428,3.9586659,Deuce,Wide
53,1,1,1,1,4.1990225,3.4052947,1.6227293,0.77254666,0.6376904,4.0629553,Deuce,Wide
54,1,1,1,1,4.7737513,3.7674445,1.6128168,0.7622492,0.55453113,3.8124533,Deuce,Wide
55,1,1,1,1,4.388351,3.5152005,1.2857869,0.85503447,0.7025307,4.1046334,Deuce,Wide
56,1,1,1,1,4.7766033,3.4804319,1.3428979,0.65788389,0.3717465,4.105958,Deuce,Wide
57,1,1,1,1,4.318932,3.5045103,1.3460732,0.68659761,0.41560977,4.0940763,Deuce,Wide
58,1,1,1,1,4.4966467,3.4392298,1.1469312,0.66350941,0.61946224,3.8750939,Deuce,Wide
59,1,1,1,1,4.6752863,3.2888678,1.2876072,0.68980234,0.34174545,3.994072,Deuce,Wide
60,1,1,1,1,5.1545124,3.6309797,1.3054607,0.77908129,0.59238719,3.7964457,Deuce,Wide
61,1,1,1,1,5.6784503,3.7406291,1.3964851,0.66776809,0.63603282,4.0230822,Deuce,Wide
62,1,1,1,1,4.5797466,3.3923097,1.6659567,0.74559018,0.41735594,3.9878993,Deuce,Wide
63,1,1,1,1,5.2376112,3.7076648,1.3621718,0.76053941,0.75543202,4.0717277,Deuce,Wide
64,1,1,1,1,4.3665332,3.6543775,1.5626625,0.64660499,0.25376265,4.1036281,Deuce,Wide
